name,x,y
Loss,1758751200,75
Loss,1758837600,25
Loss,1758924000,25
Loss,1759010400,2
Loss,1759096800,25
Loss,1759183200,32
Loss,1759269600,5
Loss,1759356000,45
Loss,1759442400,37.5
Loss,1759528800,45
Loss,1759615200,5
Loss,1759701600,5
Loss,1759788000,35
Loss,1761778800,30
Loss,1761865200,20
Loss,1761951600,50
Loss,1762038000,50
Loss,1762124400,30
Loss,1762297200,20
Loss,1762383600,10
Loss,1762470000,15
Loss,1762556400,10
Loss,1762642800,10
Loss,1762729200,15
Loss,1762815600,25
Loss,1762902000,20
Loss,1762988400,25
Loss,1763074800,15
Loss,1763161200,5
Loss,1763334000,15
Loss,1763420400,15
Loss,1763506800,20
Loss,1763593200,20
Loss,1763679600,30
Loss,1763766000,20
Loss,1763852400,20
Loss,1763938800,20
